"Expected","0.107679","0.110592","0.111672","0.110976","0.108562","0.104487","0.098809","0.091585","0.082873","0.072731"
"white/white","0.133000","0.099000","0.121000","0.098000","0.106000","0.092000","0.099000","0.072000","0.098000","0.082000"
"white/LDS","0.097000","0.124000","0.109000","0.106000","0.115000","0.086000","0.101000","0.096000","0.092000","0.074000"
"LDS/white","0.108000","0.108000","0.112000","0.107000","0.111000","0.103000","0.100000","0.092000","0.084000","0.075000"
"LDS/LDS","0.106000","0.112000","0.111000","0.111000","0.109000","0.106000","0.100000","0.089000","0.083000","0.073000"
"R2 LDS","0.109000","0.108000","0.113000","0.111000","0.106000","0.106000","0.099000","0.090000","0.084000","0.074000"
"Sobol LDS","0.109000","0.110000","0.112000","0.112000","0.109000","0.105000","0.096000","0.093000","0.082000","0.072000"

"Error:"
"white/white","0.025321","-0.011592","0.009328","-0.012976","-0.002562","-0.012487","0.000191","-0.019585","0.015127","0.009269"
"white/LDS","-0.010679","0.013408","-0.002672","-0.004976","0.006438","-0.018487","0.002191","0.004415","0.009127","0.001269"
"LDS/white","0.000321","-0.002592","0.000328","-0.003976","0.002438","-0.001487","0.001191","0.000415","0.001127","0.002269"
"LDS/LDS","-0.001679","0.001408","-0.000672","0.000024","0.000438","0.001513","0.001191","-0.002585","0.000127","0.000269"
"R2 LDS","0.001321","-0.002592","0.001328","0.000024","-0.002562","0.001513","0.000191","-0.001585","0.001127","0.001269"
"Sobol LDS","0.001321","-0.000592","0.000328","0.001024","0.000438","0.000513","-0.002809","0.001415","-0.000873","-0.000731"

"Avg Error:"
"white/white","0.000011","-0.000255","0.000364","0.000616","-0.000341","-0.000151","0.000017","-0.000058","0.000162","-0.000331"
"white/LDS","-0.000413","0.000530","-0.000258","-0.000197","0.000292","0.000257","-0.000351","0.000101","0.000136","-0.000063"
"LDS/white","0.000014","-0.000036","-0.000049","0.000057","0.000059","-0.000022","-0.000098","0.000139","-0.000021","-0.000009"
"LDS/LDS","0.000094","-0.000068","0.000062","0.000069","-0.000030","0.000023","0.000032","-0.000065","-0.000114","0.000031"
"R2 LDS","0.000033","-0.000082","0.000078","-0.000065","0.000091","0.000037","0.000019","0.000022","-0.000034","-0.000065"
"Sobol LDS","0.000024","-0.000009","-0.000015","0.000046","0.000039","-0.000040","-0.000050","0.000067","-0.000018","-0.000010"

"Std Dev:"
"white/white","0.010005","0.009965","0.009909","0.009803","0.009538","0.009989","0.009428","0.009254","0.008151","0.008244"
"white/LDS","0.009739","0.010176","0.009860","0.009627","0.009590","0.009453","0.009476","0.008848","0.008618","0.008491"
"LDS/white","0.002725","0.002324","0.002155","0.002367","0.002553","0.003103","0.003547","0.004109","0.004506","0.004663"
"LDS/LDS","0.001257","0.001528","0.001126","0.001099","0.001238","0.001268","0.001341","0.001467","0.001564","0.001464"
"R2 LDS","0.001880","0.001934","0.001870","0.001917","0.001949","0.001790","0.001828","0.001937","0.001912","0.001865"
"Sobol LDS","0.001423","0.001297","0.001288","0.001288","0.001409","0.001454","0.001522","0.001536","0.001542","0.001766"
