"Expected","0.107679","0.110592","0.111672","0.110976","0.108562","0.104487","0.098809","0.091585","0.082873","0.072731"
"white/white","0.100000","0.100000","0.090000","0.120000","0.090000","0.130000","0.110000","0.100000","0.060000","0.100000"
"white/LDS","0.120000","0.130000","0.080000","0.110000","0.090000","0.150000","0.100000","0.070000","0.060000","0.090000"
"LDS/white","0.110000","0.120000","0.100000","0.100000","0.120000","0.100000","0.090000","0.100000","0.110000","0.050000"
"LDS/LDS","0.110000","0.110000","0.120000","0.110000","0.100000","0.090000","0.110000","0.100000","0.090000","0.060000"
"R2 LDS","0.100000","0.130000","0.100000","0.100000","0.130000","0.100000","0.110000","0.070000","0.080000","0.080000"
"Sobol LDS","0.110000","0.120000","0.120000","0.100000","0.130000","0.090000","0.090000","0.100000","0.060000","0.080000"

"Error:"
"white/white","-0.007679","-0.010592","-0.021672","0.009024","-0.018562","0.025513","0.011191","0.008415","-0.022873","0.027269"
"white/LDS","0.012321","0.019408","-0.031672","-0.000976","-0.018562","0.045513","0.001191","-0.021585","-0.022873","0.017269"
"LDS/white","0.002321","0.009408","-0.011672","-0.010976","0.011438","-0.004487","-0.008809","0.008415","0.027127","-0.022731"
"LDS/LDS","0.002321","-0.000592","0.008328","-0.000976","-0.008562","-0.014487","0.011191","0.008415","0.007127","-0.012731"
"R2 LDS","-0.007679","0.019408","-0.011672","-0.010976","0.021438","-0.004487","0.011191","-0.021585","-0.002873","0.007269"
"Sobol LDS","0.002321","0.009408","0.008328","-0.010976","0.021438","-0.014487","-0.008809","0.008415","-0.022873","0.007269"

"Avg Error:"
"white/white","-0.000299","0.000037","0.000388","0.000113","0.000238","-0.000207","0.000361","0.000325","-0.001143","0.000219"
"white/LDS","-0.000549","-0.000282","-0.000952","-0.001196","0.000288","0.001463","-0.000369","0.000645","-0.000203","0.001189"
"LDS/white","-0.000429","0.000098","-0.000062","-0.000156","0.000768","0.000323","0.000081","-0.000715","0.000507","-0.000381"
"LDS/LDS","0.000111","-0.000082","-0.000072","0.000064","-0.000162","0.000143","0.000121","-0.000035","0.000047","-0.000101"
"R2 LDS","-0.000549","-0.000222","0.000288","-0.000096","0.000008","-0.000117","0.000341","0.000425","-0.000503","0.000459"
"Sobol LDS","0.000131","-0.000412","-0.000222","0.000213","0.000188","0.000113","0.000101","0.000005","0.000427","-0.000511"

"Std Dev:"
"white/white","0.030022","0.031447","0.031489","0.032068","0.031211","0.030138","0.030634","0.028623","0.027497","0.025012"
"white/LDS","0.030660","0.031490","0.031082","0.030837","0.031530","0.030992","0.030163","0.028080","0.026566","0.026322"
"LDS/white","0.010683","0.009572","0.009428","0.009215","0.010200","0.011196","0.012918","0.013197","0.015052","0.015943"
"LDS/LDS","0.008810","0.008662","0.008498","0.008469","0.008879","0.008721","0.010361","0.010084","0.010443","0.010648"
"R2 LDS","0.013478","0.013614","0.014048","0.013646","0.014179","0.013850","0.014056","0.013617","0.013766","0.013679"
"Sobol LDS","0.010014","0.009075","0.009077","0.009524","0.009773","0.009882","0.009915","0.010534","0.010559","0.010662"
