"Survival","white/white","white/LDS","LDS/white","LDS/LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS"
"","80","72","73","73","","74.043076","73.690010","73.645027","73.608978","","4.250862","2.680496","4.062019","1.377838"
"","81","74","74","75","","75.295959","74.937996","74.884949","74.871010","","4.299630","2.705878","4.100126","1.388780"
"","83","75","75","76","","76.555023","76.219139","76.153992","76.121078","","4.337563","2.743155","4.126302","1.402425"
"","84","76","76","77","","77.829056","77.455116","77.389969","77.362015","","4.354865","2.756827","4.170324","1.414559"
"","85","77","77","78","","79.084961","78.708069","78.643990","78.601997","","4.415825","2.803196","4.201992","1.410411"
"","86","79","78","80","","80.338058","79.940971","79.878067","79.850044","","4.453317","2.821600","4.237689","1.405382"
"","88","80","79","81","","81.611977","81.187019","81.115959","81.084969","","4.478191","2.881531","4.273373","1.396319"
"","89","81","80","83","","82.855034","82.419930","82.341019","82.317001","","4.496581","2.914890","4.313406","1.370910"
"","90","82","81","84","","84.104088","83.679993","83.597023","83.575058","","4.531627","2.954489","4.356602","1.373223"
"","91","83","84","85","","85.362961","84.926010","84.848961","84.832054","","4.548244","2.974501","4.408466","1.354427"
"","93","84","85","86","","86.610001","86.170006","86.093948","86.101067","","4.561537","3.012263","4.424883","1.309147"
"","95","85","86","88","","87.873917","87.414925","87.327087","87.347084","","4.611096","3.036641","4.436014","1.269958"
"","96","87","88","89","","89.111015","88.666077","88.602020","88.606979","","4.635704","3.037606","4.473773","1.277051"
"","97","88","89","90","","90.380096","89.924088","89.890938","89.888916","","4.665888","3.048757","4.476283","1.253121"
"","98","89","90","91","","91.624985","91.200966","91.135132","91.137032","","4.707561","3.097378","4.475628","1.252342"
"","99","90","91","93","","92.866982","92.462074","92.394958","92.377930","","4.721129","3.119213","4.523377","1.289985"
"","100","92","93","94","","94.109993","93.709007","93.651985","93.612991","","4.746401","3.154083","4.517220","1.305786"
"","102","93","94","95","","95.369957","94.978981","94.905052","94.872017","","4.798681","3.175837","4.568703","1.307281"
