"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","63","59","55","56","58","57","","59.085949","58.966000","58.844944","58.767952","58.718945","58.787968","","5.227024","3.584158","5.095547","2.489578","2.944307","3.344699"
"","64","60","56","57","60","58","","60.536964","60.436016","60.294983","60.214043","60.192955","60.241985","","5.313741","3.600130","5.127834","2.518486","2.935837","3.367650"
"","65","61","57","58","61","59","","62.012012","61.907986","61.740982","61.644016","61.639977","61.688000","","5.421628","3.632367","5.202163","2.513149","2.957710","3.405139"
"","68","63","58","59","63","61","","63.522041","63.394016","63.202038","63.127972","63.111992","63.171021","","5.524405","3.701839","5.274381","2.516692","2.952257","3.406537"
"","69","64","61","60","65","62","","65.001953","64.891045","64.685913","64.573914","64.605072","64.628006","","5.579547","3.744723","5.373592","2.548552","2.941736","3.456552"
"","70","65","62","62","67","64","","66.497971","66.381981","66.172104","66.057037","66.051010","66.117012","","5.649988","3.823498","5.477137","2.539435","2.943810","3.507734"
"","72","66","64","63","68","67","","68.001999","67.836021","67.632019","67.520050","67.522041","67.581963","","5.693592","3.840128","5.566273","2.589700","2.927593","3.560718"
"","73","67","65","65","70","69","","69.461983","69.320000","69.093979","69.010994","69.001907","69.055000","","5.714522","3.899932","5.616313","2.651927","2.915811","3.565309"
"","77","69","66","67","71","70","","70.970993","70.815994","70.594070","70.511963","70.476929","70.526993","","5.786653","3.934957","5.683549","2.691675","2.913717","3.562706"
"","78","72","68","68","72","72","","72.443039","72.340012","72.069000","71.993019","71.961006","72.003036","","5.801864","4.000183","5.726301","2.655147","2.916313","3.604197"
"","79","74","70","70","74","73","","73.902931","73.847061","73.520966","73.476059","73.446983","73.486015","","5.829402","4.067125","5.807752","2.677489","2.902636","3.639652"
"","80","77","72","71","75","74","","75.351967","75.316086","75.002975","74.945992","74.907928","74.942932","","5.895162","4.114926","5.839863","2.735402","2.879158","3.716780"
"","81","79","73","72","77","75","","76.842033","76.816879","76.465935","76.438942","76.369034","76.402023","","5.967278","4.150195","5.874335","2.762754","2.886949","3.765398"
"","82","80","74","73","79","76","","78.305916","78.269066","77.965088","77.936089","77.876945","77.888039","","6.030157","4.197167","5.903687","2.836960","2.893031","3.794913"
"","84","81","77","75","81","77","","79.764931","79.748062","79.492065","79.387169","79.366028","79.367035","","6.063748","4.212205","5.984763","2.830843","2.888217","3.786476"
"","85","82","78","76","82","81","","81.252129","81.219986","80.927948","80.882034","80.846115","80.872040","","6.119178","4.286835","6.044836","2.823416","2.881531","3.816084"
"","87","85","79","78","84","82","","82.759048","82.711899","82.426041","82.351959","82.319984","82.338005","","6.169837","4.359739","6.074609","2.821081","2.873896","3.824009"
