"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","48","46","44","47","46","45","","46.082947","46.054020","46.045036","46.099960","45.966991","46.012974","","2.768404","2.013383","2.535442","1.451780","1.643153","1.417748"
"","49","47","46","48","48","46","","47.241966","47.199001","47.187023","47.242001","47.119965","47.182072","","2.799318","2.028424","2.552190","1.455056","1.649677","1.412745"
"","51","48","47","49","49","47","","48.373024","48.345985","48.330009","48.403000","48.259029","48.381004","","2.817400","2.032872","2.588002","1.454217","1.660446","1.422047"
"","52","49","48","50","50","48","","49.522007","49.491962","49.488983","49.548023","49.399986","49.546021","","2.862532","2.049319","2.605302","1.447654","1.666097","1.417576"
"","53","50","49","51","52","49","","50.673008","50.632034","50.644043","50.690956","50.553020","50.652004","","2.883860","2.079593","2.630018","1.438858","1.661328","1.427701"
"","54","51","50","52","53","50","","51.833000","51.788990","51.790981","51.824997","51.709980","51.789986","","2.881489","2.100793","2.675619","1.416887","1.658092","1.422991"
"","55","53","51","53","54","52","","52.973007","52.948997","52.950935","52.980999","52.861019","52.919010","","2.924673","2.123851","2.716234","1.389747","1.649603","1.430093"
"","56","54","52","54","55","53","","54.115990","54.122978","54.113003","54.128006","54.001999","54.097977","","2.951678","2.160548","2.763947","1.375799","1.649973","1.419211"
"","57","55","53","55","57","54","","55.253967","55.267014","55.273994","55.278984","55.146973","55.283035","","2.975240","2.159870","2.798184","1.330604","1.665144","1.409285"
"","58","56","54","56","58","55","","56.405022","56.440002","56.439983","56.422966","56.289986","56.438011","","3.006788","2.194965","2.823071","1.301385","1.664924","1.407552"
"","59","57","55","57","59","56","","57.543980","57.588039","57.593994","57.548988","57.444988","57.595963","","3.022054","2.215612","2.857282","1.260503","1.666390","1.413523"
"","60","58","56","59","60","57","","58.702972","58.750977","58.732002","58.714970","58.614010","58.716988","","3.035596","2.251573","2.887963","1.240688","1.662870","1.425904"
"","61","59","57","60","61","59","","59.839970","59.907990","59.884903","59.866959","59.765980","59.836018","","3.063576","2.257475","2.908181","1.231405","1.661181","1.416456"
"","62","60","58","62","62","61","","60.993977","61.064987","61.054989","61.014046","60.915031","60.981960","","3.079433","2.282801","2.940947","1.208591","1.647308","1.420673"
"","63","61","59","63","63","62","","62.135048","62.218010","62.204990","62.170025","62.059982","62.138966","","3.101041","2.291714","2.974173","1.208995","1.625826","1.411276"
"","64","62","61","65","64","63","","63.308029","63.354015","63.352016","63.354977","63.208008","63.309998","","3.138681","2.314980","2.983148","1.231107","1.621390","1.425476"
"","65","63","62","67","66","64","","64.465981","64.511055","64.483940","64.518974","64.369919","64.499954","","3.131867","2.320615","3.022620","1.237042","1.629950","1.440215"
"","66","64","63","68","67","65","","65.612961","65.666069","65.637878","65.707924","65.519035","65.664932","","3.166136","2.340832","3.067439","1.278198","1.617923","1.473563"
"","67","66","64","69","68","66","","66.777061","66.827980","66.794914","66.866104","66.694000","66.795021","","3.202096","2.337805","3.107687","1.306347","1.624549","1.495109"
"","68","67","65","70","69","67","","67.930962","68.005020","67.962090","68.020981","67.836983","67.928955","","3.232374","2.343021","3.128904","1.359465","1.600171","1.513126"
"","69","68","66","71","70","69","","69.083946","69.146950","69.138016","69.193916","68.977982","69.102043","","3.287123","2.371502","3.157101","1.404165","1.584070","1.525179"
"","70","69","67","72","71","70","","70.234009","70.272980","70.265999","70.346893","70.111961","70.269920","","3.294319","2.385871","3.174376","1.441401","1.563281","1.559372"
"","72","70","69","73","73","71","","71.409920","71.403076","71.405083","71.495056","71.270081","71.437874","","3.323904","2.388939","3.183668","1.465422","1.557805","1.607326"
"","73","71","70","74","74","72","","72.528992","72.556000","72.563995","72.638092","72.409920","72.628044","","3.341267","2.426860","3.208037","1.471241","1.557178","1.644118"
"","74","72","71","75","75","73","","73.689987","73.704041","73.711922","73.786011","73.550011","73.777946","","3.376230","2.446897","3.243759","1.512642","1.523898","1.679233"
"","75","73","72","76","76","74","","74.823112","74.856056","74.866058","74.939880","74.693024","74.906067","","3.387635","2.452976","3.296838","1.541420","1.499186","1.704630"
"","76","74","73","77","77","76","","75.994118","76.002968","76.001938","76.083023","75.855026","76.053108","","3.408973","2.472209","3.314047","1.568893","1.478360","1.750418"
"","79","75","75","78","78","77","","77.146072","77.151909","77.139969","77.208023","77.006058","77.197052","","3.422553","2.489529","3.358539","1.567336","1.463087","1.785220"
"","83","77","76","79","79","78","","78.291077","78.289070","78.310005","78.339066","78.156075","78.349022","","3.463820","2.487861","3.372395","1.570138","1.449171","1.791909"
"","84","78","77","80","80","79","","79.422943","79.434052","79.455055","79.490074","79.303032","79.463036","","3.471002","2.513635","3.393540","1.564686","1.417318","1.789318"
"","85","79","78","81","81","81","","80.562012","80.586029","80.609039","80.641930","80.463036","80.576004","","3.476062","2.547210","3.434374","1.577119","1.390713","1.782209"
"","87","80","79","82","82","82","","81.722008","81.743958","81.755066","81.785065","81.613052","81.708153","","3.513437","2.568970","3.457612","1.550737","1.356948","1.776171"
"","88","81","80","83","83","84","","82.879181","82.894089","82.908012","82.917023","82.760979","82.844009","","3.534705","2.583848","3.451675","1.540311","1.350998","1.760709"
"","89","82","82","84","85","85","","84.030029","84.042984","84.034050","84.072037","83.920067","83.988007","","3.544844","2.604083","3.451251","1.497720","1.331155","1.717329"
"","90","83","83","85","86","86","","85.173927","85.198036","85.171059","85.206116","85.081902","85.163025","","3.572628","2.634284","3.451463","1.475715","1.324167","1.718466"
"","91","84","84","86","87","87","","86.334007","86.327072","86.312988","86.345093","86.242058","86.346062","","3.604061","2.636785","3.485391","1.439367","1.314359","1.697597"
"","92","85","86","87","88","88","","87.462051","87.476051","87.454964","87.496017","87.425980","87.534027","","3.618798","2.653951","3.510795","1.407465","1.295274","1.684749"
"","93","87","87","88","89","89","","88.605965","88.638031","88.598053","88.681992","88.584984","88.714043","","3.654246","2.651466","3.498465","1.377838","1.264757","1.685184"
"","94","88","88","89","90","90","","89.759064","89.801033","89.770065","89.819000","89.729980","89.838997","","3.682067","2.655423","3.532287","1.373045","1.248045","1.707062"
"","95","89","89","90","91","91","","90.925011","90.939949","90.917030","90.980003","90.883011","90.977997","","3.718881","2.662309","3.556327","1.332804","1.255846","1.737399"
"","96","90","90","91","92","93","","92.072975","92.094002","92.081108","92.131950","92.036003","92.146019","","3.740091","2.693670","3.598909","1.346654","1.283154","1.737961"
"","97","91","91","94","94","94","","93.235046","93.258942","93.223961","93.295113","93.200958","93.302055","","3.752083","2.718570","3.612046","1.330604","1.302042","1.751395"
"","98","92","92","96","95","95","","94.419960","94.401009","94.373077","94.466972","94.359955","94.437950","","3.791695","2.731293","3.624461","1.352804","1.300541","1.783715"
"","99","93","93","97","96","97","","95.582069","95.564972","95.507919","95.638023","95.525108","95.573082","","3.804551","2.754790","3.636834","1.382084","1.312872","1.784536"
"","100","94","94","98","97","98","","96.743927","96.714020","96.659111","96.801064","96.685997","96.716911","","3.849843","2.783531","3.665586","1.394395","1.321768","1.798165"
"","101","95","95","99","98","99","","97.879913","97.871895","97.820946","97.966057","97.827072","97.847916","","3.877016","2.808678","3.686573","1.419039","1.326562","1.803046"
"","103","96","96","101","99","100","","99.029060","99.020950","98.965973","99.137947","98.985008","98.959007","","3.915739","2.828082","3.702960","1.452033","1.338288","1.780976"
"","104","97","97","102","101","101","","100.160980","100.181938","100.112991","100.291039","100.155907","100.108032","","3.930177","2.847353","3.728192","1.489875","1.353165","1.760571"
"","105","98","98","103","102","102","","101.294975","101.324081","101.246002","101.433983","101.305115","101.250000","","3.958648","2.854205","3.744658","1.540787","1.352804","1.716760"
"","106","99","99","104","103","103","","102.468033","102.485893","102.395935","102.592979","102.462936","102.400047","","3.969365","2.876868","3.772070","1.573400","1.405208","1.696446"
"","108","100","100","105","104","104","","103.603058","103.629013","103.548935","103.732986","103.603065","103.623901","","3.981157","2.888217","3.771941","1.605350","1.429666","1.696158"
"","109","101","101","106","105","105","","104.762970","104.768913","104.690117","104.892998","104.755989","104.815979","","3.996336","2.907090","3.778666","1.618074","1.471075","1.676469"
"","110","102","102","107","106","106","","105.907944","105.909943","105.817062","106.030121","105.916023","105.987061","","4.006587","2.911789","3.818387","1.628302","1.477038","1.675012"
"","111","103","103","108","107","107","","107.072968","107.061020","106.978020","107.173996","107.067017","107.111115","","4.017783","2.921332","3.864527","1.651822","1.505199","1.666536"
"","112","104","104","109","108","109","","108.215996","108.191978","108.147034","108.331841","108.226006","108.238991","","4.048654","2.923337","3.875504","1.695583","1.523257","1.686342"
"","113","105","105","110","109","110","","109.374046","109.347023","109.282959","109.479057","109.392975","109.402000","","4.075221","2.946628","3.910623","1.676760","1.521012","1.705059"
"","114","106","106","111","110","111","","110.518013","110.500000","110.441032","110.619949","110.546059","110.561058","","4.094227","2.954241","3.919727","1.688657","1.531569","1.724139"
"","115","108","107","112","111","112","","111.662025","111.663986","111.583923","111.745094","111.700050","111.710976","","4.111602","2.964635","3.947779","1.668293","1.558119","1.730076"
"","116","109","108","114","112","113","","112.829086","112.817024","112.742058","112.896965","112.861023","112.870064","","4.156133","2.990871","3.980175","1.658018","1.589455","1.703053"
"","118","110","109","115","113","114","","113.998940","113.978081","113.906982","114.037094","114.003960","114.008949","","4.210640","3.006341","3.991935","1.640551","1.623497","1.732333"
"","119","111","110","116","114","115","","115.153023","115.134995","115.064049","115.185036","115.180946","115.141029","","4.236882","3.040097","3.998413","1.620185","1.658018","1.719318"
