"Expected","0.107679","0.110592","0.111672","0.110976","0.108562","0.104487","0.098809","0.091585","0.082873","0.072731"
"white/white","0.110301","0.114001","0.109401","0.107101","0.108301","0.105301","0.097601","0.090901","0.084201","0.072901"
"white/LDS","0.105701","0.118701","0.110201","0.112201","0.113601","0.103801","0.096901","0.089001","0.079701","0.070201"
"LDS/white","0.108401","0.111901","0.112401","0.111401","0.108401","0.103501","0.099801","0.091501","0.083201","0.069501"
"LDS/LDS","0.107001","0.111001","0.112201","0.110701","0.108401","0.104101","0.098901","0.092101","0.082801","0.072801"
"R2 LDS","0.107701","0.110601","0.111501","0.111001","0.108901","0.104801","0.098401","0.091801","0.082801","0.072501"
"Sobol LDS","0.107601","0.110901","0.111301","0.111201","0.108701","0.104301","0.098601","0.091301","0.083001","0.073101"

"Error:"
"white/white","0.002622","0.003409","-0.002271","-0.003875","-0.000261","0.000814","-0.001208","-0.000684","0.001328","0.000169"
"white/LDS","-0.001978","0.008109","-0.001471","0.001225","0.005039","-0.000686","-0.001908","-0.002584","-0.003173","-0.002531"
"LDS/white","0.000722","0.001309","0.000729","0.000425","-0.000161","-0.000986","0.000992","-0.000084","0.000327","-0.003231"
"LDS/LDS","-0.000678","0.000409","0.000529","-0.000275","-0.000161","-0.000386","0.000092","0.000516","-0.000073","0.000069"
"R2 LDS","0.000022","0.000009","-0.000171","0.000025","0.000339","0.000314","-0.000408","0.000216","-0.000073","-0.000231"
"Sobol LDS","-0.000078","0.000309","-0.000371","0.000225","0.000139","-0.000186","-0.000208","-0.000284","0.000127","0.000369"

"Avg Error:"
"white/white","-0.000117","0.000173","0.000055","-0.000111","-0.000131","0.000077","-0.000070","-0.000049","0.000126","0.000090"
"white/LDS","-0.000164","0.000139","-0.000074","0.000137","0.000039","0.000023","-0.000079","0.000088","-0.000011","-0.000056"
"LDS/white","0.000042","0.000013","0.000009","0.000026","0.000047","0.000017","0.000008","-0.000019","-0.000024","-0.000076"
"LDS/LDS","-0.000010","-0.000003","0.000016","0.000013","0.000012","0.000004","-0.000015","-0.000006","0.000014","0.000018"
"R2 LDS","0.000006","-0.000008","0.000008","0.000014","0.000001","0.000004","-0.000004","0.000012","0.000006","0.000003"
"Sobol LDS","-0.000002","0.000014","-0.000004","0.000012","-0.000009","0.000022","0.000001","0.000003","0.000019","-0.000012"

"Std Dev:"
"white/white","0.003117","0.003182","0.003123","0.003184","0.003162","0.003177","0.003072","0.002923","0.002705","0.002578"
"white/LDS","0.002984","0.002979","0.003129","0.003219","0.002988","0.003027","0.002962","0.002859","0.002724","0.002476"
"LDS/white","0.000822","0.000703","0.000682","0.000676","0.000783","0.000945","0.001132","0.001290","0.001479","0.001533"
"LDS/LDS","0.000571","0.000409","0.000307","0.000390","0.000281","0.000224","0.000377","0.000421","0.000329","0.000435"
"R2 LDS","0.000222","0.000252","0.000122","0.000146","0.000205","0.000207","0.000178","0.000238","0.000187","0.000153"
"Sobol LDS","0.000186","0.000195","0.000118","0.000232","0.000216","0.000161","0.000175","0.000240","0.000252","0.000363"
