"Expected","0.107679","0.110592","0.111672","0.110976","0.108562","0.104487","0.098809","0.091585","0.082873","0.072731"
"white/white","0.105501","0.103401","0.110001","0.118201","0.109901","0.106001","0.098901","0.089301","0.083201","0.075601"
"white/LDS","0.103101","0.108001","0.115001","0.110801","0.104101","0.108001","0.101501","0.087101","0.087801","0.074601"
"LDS/white","0.104201","0.113701","0.118201","0.109301","0.108301","0.105001","0.100701","0.089601","0.081401","0.069601"
"LDS/LDS","0.107901","0.110301","0.111701","0.112101","0.109301","0.103101","0.098201","0.091201","0.084401","0.071801"
"R2 LDS","0.108101","0.111601","0.112801","0.111201","0.107701","0.105601","0.098601","0.092101","0.078601","0.073701"
"Sobol LDS","0.108601","0.111501","0.111801","0.111401","0.109001","0.104901","0.098601","0.091401","0.082101","0.070701"

"Error:"
"white/white","-0.002178","-0.007191","-0.001671","0.007225","0.001339","0.001514","0.000092","-0.002284","0.000327","0.002869"
"white/LDS","-0.004578","-0.002591","0.003329","-0.000175","-0.004461","0.003514","0.002692","-0.004484","0.004928","0.001869"
"LDS/white","-0.003478","0.003109","0.006529","-0.001675","-0.000261","0.000514","0.001892","-0.001984","-0.001473","-0.003131"
"LDS/LDS","0.000222","-0.000291","0.000029","0.001125","0.000739","-0.001386","-0.000608","-0.000384","0.001528","-0.000931"
"R2 LDS","0.000422","0.001009","0.001129","0.000225","-0.000861","0.001114","-0.000208","0.000516","-0.004273","0.000969"
"Sobol LDS","0.000922","0.000909","0.000129","0.000425","0.000439","0.000414","-0.000208","-0.000184","-0.000773","-0.002031"

"Avg Error:"
"white/white","0.000076","-0.000085","-0.000110","-0.000065","-0.000009","0.000061","0.000195","-0.000020","0.000014","-0.000013"
"white/LDS","0.000144","-0.000222","-0.000040","-0.000160","-0.000070","0.000031","-0.000030","0.000171","0.000269","-0.000051"
"LDS/white","0.000091","-0.000049","-0.000002","-0.000015","-0.000051","0.000138","-0.000060","-0.000066","-0.000033","0.000090"
"LDS/LDS","0.000016","-0.000021","-0.000034","-0.000017","-0.000019","0.000028","-0.000069","0.000150","-0.000081","0.000090"
"R2 LDS","0.000002","0.000022","-0.000012","0.000008","0.000008","0.000065","0.000023","-0.000002","-0.000065","-0.000006"
"Sobol LDS","0.000024","0.000028","0.000015","-0.000014","-0.000005","0.000014","-0.000084","0.000088","-0.000021","-0.000002"

"Std Dev:"
"white/white","0.003097","0.003026","0.003124","0.003225","0.003040","0.003052","0.002981","0.002938","0.002851","0.002645"
"white/LDS","0.003079","0.003115","0.003057","0.003140","0.003069","0.003082","0.002937","0.002810","0.002677","0.002548"
"LDS/white","0.001933","0.002023","0.001944","0.001948","0.001934","0.001926","0.002002","0.002018","0.002132","0.001985"
"LDS/LDS","0.000843","0.000927","0.001078","0.001235","0.001427","0.001470","0.001548","0.001916","0.001892","0.001519"
"R2 LDS","0.000707","0.000955","0.001310","0.001416","0.001567","0.001551","0.002039","0.001916","0.001969","0.002275"
"Sobol LDS","0.000824","0.001027","0.001233","0.001343","0.001528","0.001683","0.001703","0.001823","0.001894","0.001832"
