"Expected","0.107679","0.110592","0.111672","0.110976","0.108562","0.104487","0.098809","0.091585","0.082873","0.072731"
"white/white","0.101000","0.106000","0.112000","0.108000","0.118000","0.100000","0.100000","0.092000","0.082000","0.081000"
"white/LDS","0.111000","0.111000","0.125000","0.110000","0.119000","0.102000","0.089000","0.087000","0.071000","0.075000"
"LDS/white","0.107000","0.111000","0.112000","0.111000","0.107000","0.104000","0.104000","0.090000","0.084000","0.070000"
"LDS/LDS","0.107000","0.111000","0.114000","0.110000","0.108000","0.102000","0.099000","0.092000","0.083000","0.074000"
"R2 LDS","0.107000","0.112000","0.112000","0.109000","0.111000","0.106000","0.095000","0.094000","0.081000","0.073000"
"Sobol LDS","0.107000","0.113000","0.109000","0.112000","0.110000","0.104000","0.099000","0.089000","0.082000","0.075000"

"Error:"
"white/white","-0.006679","-0.004592","0.000328","-0.002976","0.009438","-0.004487","0.001191","0.000415","-0.000873","0.008269"
"white/LDS","0.003321","0.000408","0.013328","-0.000976","0.010438","-0.002487","-0.009809","-0.004585","-0.011873","0.002269"
"LDS/white","-0.000679","0.000408","0.000328","0.000024","-0.001562","-0.000487","0.005191","-0.001585","0.001127","-0.002731"
"LDS/LDS","-0.000679","0.000408","0.002328","-0.000976","-0.000562","-0.002487","0.000191","0.000415","0.000127","0.001269"
"R2 LDS","-0.000679","0.001408","0.000328","-0.001976","0.002438","0.001513","-0.003809","0.002415","-0.001873","0.000269"
"Sobol LDS","-0.000679","0.002408","-0.002672","0.001024","0.001438","-0.000487","0.000191","-0.002585","-0.000873","0.002269"

"Avg Error:"
"white/white","-0.000318","0.000183","-0.000270","0.000299","-0.000562","0.000362","-0.000073","-0.000298","0.000302","0.000409"
"white/LDS","-0.000315","0.000066","0.000116","0.000054","0.000354","-0.000063","-0.000486","-0.000044","0.000123","0.000229"
"LDS/white","-0.000129","-0.000021","-0.000091","-0.000057","0.000057","0.000027","0.000197","-0.000115","0.000078","0.000088"
"LDS/LDS","-0.000038","-0.000046","0.000097","0.000009","-0.000057","0.000002","0.000079","-0.000067","-0.000034","0.000088"
"R2 LDS","-0.000003","-0.000055","0.000026","0.000033","-0.000002","-0.000012","0.000076","-0.000034","0.000036","-0.000031"
"Sobol LDS","0.000113","0.000005","-0.000013","-0.000008","0.000016","0.000022","-0.000016","0.000002","-0.000015","-0.000072"

"Std Dev:"
"white/white","0.009777","0.010337","0.010111","0.009988","0.010107","0.009820","0.009453","0.009081","0.008597","0.008248"
"white/LDS","0.009933","0.010405","0.010092","0.010067","0.009944","0.009807","0.009318","0.008906","0.008659","0.008146"
"LDS/white","0.002752","0.002360","0.002162","0.002243","0.002511","0.003029","0.003627","0.004035","0.004149","0.004757"
"LDS/LDS","0.001365","0.001290","0.001142","0.001228","0.001185","0.001314","0.001500","0.001524","0.001457","0.001657"
"R2 LDS","0.001891","0.001939","0.001857","0.001900","0.001945","0.001866","0.001903","0.001879","0.001867","0.001844"
"Sobol LDS","0.001434","0.001345","0.001322","0.001328","0.001482","0.001430","0.001531","0.001569","0.001544","0.001747"
