"Expected","0.077500","0.082500","0.087500","0.092500","0.097500","0.102500","0.107500","0.112500","0.117500","0.122500"
"white/white","0.080601","0.081901","0.093701","0.090201","0.096301","0.100701","0.104601","0.112501","0.117901","0.121601"
"white/LDS","0.078101","0.081901","0.090601","0.096101","0.096701","0.102901","0.106301","0.111701","0.116501","0.119201"
"LDS/white","0.076801","0.081701","0.087101","0.093301","0.096201","0.104301","0.106801","0.112601","0.118201","0.123002"
"LDS/LDS","0.077601","0.082601","0.087101","0.092701","0.097301","0.102401","0.107601","0.111901","0.118301","0.122501"

"Error:"
"white/white","0.003101","-0.000599","0.006201","-0.002299","-0.001199","-0.001799","-0.002899","0.000001","0.000402","-0.000899"
"white/LDS","0.000601","-0.000599","0.003101","0.003601","-0.000799","0.000401","-0.001199","-0.000799","-0.000998","-0.003299"
"LDS/white","-0.000699","-0.000799","-0.000399","0.000801","-0.001299","0.001801","-0.000699","0.000101","0.000702","0.000501"
"LDS/LDS","0.000101","0.000101","-0.000399","0.000201","-0.000199","-0.000099","0.000101","-0.000599","0.000802","0.000001"

"Avg Error:"
"white/white","0.000050","-0.000012","-0.000003","-0.000006","0.000227","-0.000086","-0.000223","0.000030","-0.000074","0.000109"
"white/LDS","-0.000087","-0.000100","-0.000007","0.000016","-0.000083","0.000123","-0.000086","0.000086","0.000052","0.000097"
"LDS/white","-0.000094","-0.000009","0.000097","0.000001","0.000104","-0.000034","-0.000034","-0.000002","-0.000004","-0.000014"
"LDS/LDS","0.000002","0.000007","-0.000008","0.000003","0.000002","0.000001","0.000010","-0.000017","0.000009","0.000003"

"Std Dev:"
"white/white","0.002606","0.002714","0.002814","0.002918","0.002877","0.002997","0.003158","0.003240","0.003258","0.003234"
"white/LDS","0.002614","0.002743","0.002795","0.003033","0.002964","0.002956","0.003206","0.003181","0.003245","0.003241"
"LDS/white","0.001600","0.001564","0.001523","0.001519","0.001422","0.001257","0.001180","0.001045","0.000897","0.000709"
"LDS/LDS","0.000447","0.000352","0.000429","0.000386","0.000427","0.000384","0.000423","0.000400","0.000441","0.000385"
