"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","42","49","47","48","44","46","","46.043991","46.091003","46.218025","46.098007","45.966972","45.987000","","2.768713","1.936681","2.519165","1.500488","1.638838","1.459997"
"","43","50","49","49","45","47","","47.218018","47.233959","47.380039","47.240040","47.104012","47.135960","","2.807678","1.959988","2.535923","1.502846","1.633168","1.480093"
"","44","51","50","50","46","48","","48.361031","48.383984","48.546043","48.378021","48.272041","48.341019","","2.843192","1.992907","2.564024","1.495028","1.628452","1.499512"
"","45","52","51","52","47","49","","49.509991","49.549984","49.704010","49.526993","49.421005","49.492962","","2.881320","2.016170","2.586728","1.502602","1.635558","1.481576"
"","48","53","52","53","48","50","","50.658016","50.689056","50.849979","50.670948","50.575951","50.599003","","2.911160","2.023664","2.618994","1.484704","1.634960","1.469747"
"","49","55","53","54","50","51","","51.801998","51.835026","52.008995","51.827003","51.730000","51.737007","","2.944680","2.049736","2.647781","1.443770","1.619959","1.506334"
"","52","56","56","55","51","52","","52.954964","52.987030","53.174976","52.980034","52.892990","52.897976","","2.964718","2.070239","2.683409","1.421532","1.623948","1.483059"
"","53","57","57","56","52","53","","54.143986","54.140976","54.327003","54.118015","54.039047","54.051029","","2.997720","2.090074","2.693534","1.405469","1.619055","1.486183"
"","54","58","58","57","53","54","","55.277962","55.280006","55.463017","55.260986","55.179020","55.224014","","3.010683","2.097478","2.730086","1.382967","1.627177","1.480752"
"","56","59","59","58","54","55","","56.448006","56.431988","56.628975","56.390003","56.342987","56.390987","","3.030163","2.104566","2.779845","1.361170","1.617923","1.474142"
"","57","60","60","59","55","57","","57.612965","57.585957","57.810974","57.538971","57.492970","57.529980","","3.059669","2.129419","2.823503","1.327482","1.618451","1.479680"
"","58","61","61","60","57","58","","58.774994","58.752941","58.969002","58.709980","58.640972","58.686970","","3.073879","2.147628","2.838594","1.276669","1.607857","1.497964"
"","59","62","62","61","58","59","","59.913979","59.903023","60.113018","59.853008","59.792034","59.829037","","3.091461","2.155910","2.846625","1.258273","1.599026","1.503089"
"","60","63","64","62","59","60","","61.039967","61.058022","61.273945","60.979004","60.935963","61.006020","","3.118196","2.168219","2.881616","1.243243","1.575880","1.481411"
"","61","65","65","63","60","61","","62.214966","62.208969","62.444962","62.146961","62.085991","62.166000","","3.170836","2.184652","2.896447","1.243832","1.561953","1.480340"
"","62","66","66","64","61","62","","63.387981","63.383030","63.614052","63.311989","63.248955","63.311985","","3.238071","2.207000","2.944141","1.241180","1.556943","1.484786"
"","63","67","67","65","62","63","","64.523018","64.530922","64.772980","64.483017","64.386002","64.496025","","3.280282","2.233774","2.951182","1.236845","1.572623","1.483635"
"","64","68","68","66","63","65","","65.672974","65.665909","65.925911","65.656960","65.539925","65.675972","","3.320818","2.248372","2.978192","1.264757","1.564218","1.520851"
"","65","69","69","67","64","66","","66.815010","66.817894","67.092026","66.829079","66.705032","66.809967","","3.332414","2.253903","3.015908","1.298286","1.532844","1.558432"
"","66","70","70","69","66","67","","67.968018","67.962997","68.241020","67.984955","67.886017","67.956940","","3.357812","2.290116","3.041060","1.360362","1.500163","1.586072"
"","67","71","71","70","67","68","","69.117012","69.128029","69.385056","69.124939","69.033974","69.142021","","3.402521","2.299265","3.057394","1.404165","1.491349","1.594975"
"","69","72","72","71","69","69","","70.270943","70.283989","70.524925","70.299011","70.197952","70.279022","","3.421126","2.332682","3.063935","1.467087","1.480835","1.617018"
"","70","74","73","72","70","70","","71.426956","71.445068","71.678017","71.445961","71.326973","71.438034","","3.459376","2.357149","3.089881","1.508763","1.470411","1.658018"
"","71","75","74","73","71","71","","72.575035","72.606018","72.835022","72.590012","72.489029","72.614059","","3.475500","2.385053","3.108315","1.538567","1.456900","1.689380"
"","72","77","75","74","73","73","","73.725029","73.776138","73.971947","73.746010","73.651947","73.770851","","3.514896","2.399544","3.123828","1.569671","1.427273","1.706633"
"","73","78","77","76","74","75","","74.879990","74.925064","75.120979","74.906013","74.804024","74.917130","","3.535879","2.427866","3.124609","1.580675","1.411103","1.741189"
"","74","79","78","78","75","77","","76.043037","76.066994","76.241058","76.058960","75.977959","76.047974","","3.581092","2.461917","3.127967","1.588994","1.396844","1.801692"
"","76","81","79","79","76","78","","77.209045","77.205956","77.390045","77.209030","77.132050","77.189095","","3.615154","2.485800","3.162278","1.604741","1.379078","1.822039"
"","77","82","80","81","78","79","","78.357048","78.359985","78.533051","78.355042","78.274078","78.325111","","3.597417","2.514120","3.190715","1.609147","1.341932","1.806969"
"","78","83","81","82","79","80","","79.510017","79.496063","79.648109","79.509071","79.415962","79.434967","","3.603858","2.523329","3.187653","1.597422","1.337923","1.803317"
"","79","84","82","83","80","81","","80.658081","80.637039","80.818054","80.659073","80.571976","80.558960","","3.613533","2.542990","3.204078","1.590223","1.324167","1.805076"
"","80","85","83","84","81","82","","81.814011","81.791046","81.942017","81.785080","81.715111","81.717010","","3.621361","2.573054","3.238562","1.594363","1.311942","1.796943"
