"Expected","0.077500","0.082500","0.087500","0.092500","0.097500","0.102500","0.107500","0.112500","0.117500","0.122500"
"white/white","0.066000","0.091000","0.082000","0.092000","0.091000","0.127000","0.111000","0.093000","0.128000","0.119000"
"white/LDS","0.089000","0.089000","0.094000","0.092000","0.101000","0.088000","0.107000","0.102000","0.121000","0.117000"
"LDS/white","0.080000","0.090000","0.088000","0.088000","0.101000","0.098000","0.109000","0.102000","0.120000","0.124000"
"LDS/LDS","0.073000","0.084000","0.090000","0.092000","0.095000","0.103000","0.108000","0.114000","0.117000","0.124000"
"R2 LDS","0.078000","0.081000","0.087000","0.093000","0.098000","0.103000","0.107000","0.115000","0.116000","0.122000"
"Sobol LDS","0.076000","0.084000","0.089000","0.091000","0.096000","0.104000","0.106000","0.115000","0.117000","0.122000"

"Error:"
"white/white","-0.011500","0.008500","-0.005500","-0.000500","-0.006500","0.024500","0.003500","-0.019500","0.010500","-0.003500"
"white/LDS","0.011500","0.006500","0.006500","-0.000500","0.003500","-0.014500","-0.000500","-0.010500","0.003500","-0.005500"
"LDS/white","0.002500","0.007500","0.000500","-0.004500","0.003500","-0.004500","0.001500","-0.010500","0.002500","0.001500"
"LDS/LDS","-0.004500","0.001500","0.002500","-0.000500","-0.002500","0.000500","0.000500","0.001500","-0.000500","0.001500"
"R2 LDS","0.000500","-0.001500","-0.000500","0.000500","0.000500","0.000500","-0.000500","0.002500","-0.001500","-0.000500"
"Sobol LDS","-0.001500","0.001500","0.001500","-0.001500","-0.001500","0.001500","-0.001500","0.002500","-0.000500","-0.000500"

"Avg Error:"
"white/white","-0.000216","0.000110","-0.000223","-0.000208","0.000098","0.000205","-0.000122","0.000137","-0.000043","0.000262"
"white/LDS","-0.000162","0.000198","-0.000062","-0.000110","0.000248","-0.000006","-0.000240","-0.000413","0.000175","0.000372"
"LDS/white","0.000041","0.000112","-0.000067","-0.000006","0.000095","-0.000006","-0.000038","-0.000095","0.000003","-0.000039"
"LDS/LDS","0.000029","-0.000060","0.000055","-0.000011","-0.000015","-0.000006","-0.000020","0.000028","-0.000008","0.000008"
"R2 LDS","-0.000113","0.000104","-0.000109","0.000039","0.000104","-0.000104","0.000075","-0.000105","0.000018","0.000091"
"Sobol LDS","0.000024","-0.000018","0.000016","-0.000049","0.000012","-0.000106","-0.000009","0.000098","-0.000005","0.000037"

"Std Dev:"
"white/white","0.008389","0.008958","0.009237","0.009478","0.009718","0.009525","0.009882","0.010158","0.010011","0.009964"
"white/LDS","0.008616","0.008835","0.008802","0.009093","0.009331","0.009456","0.009421","0.009775","0.010134","0.010020"
"LDS/white","0.005034","0.005001","0.004938","0.004722","0.004341","0.004085","0.003841","0.003505","0.002918","0.002273"
"LDS/LDS","0.001650","0.001533","0.001658","0.001427","0.001492","0.001368","0.001297","0.001244","0.001210","0.001008"
"R2 LDS","0.001544","0.001500","0.001593","0.001641","0.001715","0.001717","0.001731","0.001766","0.001877","0.001798"
"Sobol LDS","0.001713","0.001696","0.001685","0.001698","0.001645","0.001771","0.001680","0.001547","0.001436","0.001375"
