"Expected","0.107679","0.110592","0.111672","0.110976","0.108562","0.104487","0.098809","0.091585","0.082873","0.072731"
"white/white","0.116001","0.109501","0.112201","0.109501","0.109901","0.102401","0.092501","0.086801","0.083601","0.077601"
"white/LDS","0.107901","0.114901","0.113201","0.108101","0.109601","0.102801","0.101001","0.093201","0.081001","0.068301"
"LDS/white","0.109001","0.110601","0.110501","0.110001","0.107201","0.104601","0.100201","0.091801","0.084601","0.071501"
"LDS/LDS","0.106601","0.112201","0.111201","0.110801","0.108701","0.104401","0.099401","0.091201","0.082401","0.073101"
"R2 LDS","0.107501","0.110501","0.111901","0.110801","0.108401","0.104801","0.099001","0.091401","0.083001","0.072701"
"Sobol LDS","0.108001","0.110501","0.111401","0.111201","0.108601","0.104301","0.098901","0.091801","0.082601","0.072701"

"Error:"
"white/white","0.008322","-0.001091","0.000529","-0.001475","0.001339","-0.002086","-0.006308","-0.004784","0.000727","0.004869"
"white/LDS","0.000222","0.004309","0.001529","-0.002875","0.001039","-0.001686","0.002192","0.001616","-0.001873","-0.004431"
"LDS/white","0.001322","0.000009","-0.001171","-0.000975","-0.001361","0.000114","0.001392","0.000216","0.001728","-0.001231"
"LDS/LDS","-0.001078","0.001609","-0.000471","-0.000175","0.000139","-0.000086","0.000592","-0.000384","-0.000473","0.000369"
"R2 LDS","-0.000178","-0.000091","0.000229","-0.000175","-0.000161","0.000314","0.000192","-0.000184","0.000127","-0.000031"
"Sobol LDS","0.000322","-0.000091","-0.000271","0.000225","0.000039","-0.000186","0.000092","0.000216","-0.000273","-0.000031"

"Avg Error:"
"white/white","-0.000013","-0.000009","0.000146","0.000008","-0.000064","-0.000021","-0.000060","0.000005","0.000012","0.000040"
"white/LDS","0.000102","-0.000004","0.000118","0.000078","-0.000003","0.000014","-0.000016","-0.000200","0.000073","-0.000118"
"LDS/white","0.000015","0.000009","-0.000012","-0.000013","-0.000000","0.000042","-0.000009","0.000021","0.000002","-0.000011"
"LDS/LDS","0.000028","-0.000006","0.000013","0.000023","-0.000024","0.000019","-0.000002","-0.000000","0.000008","-0.000016"
"R2 LDS","0.000008","-0.000001","0.000010","-0.000000","0.000004","0.000013","0.000001","0.000008","0.000008","-0.000007"
"Sobol LDS","0.000014","0.000003","0.000010","0.000001","0.000008","0.000003","-0.000012","0.000012","0.000009","-0.000005"

"Std Dev:"
"white/white","0.003032","0.003053","0.003226","0.003014","0.003141","0.003215","0.002917","0.002905","0.002631","0.002443"
"white/LDS","0.003125","0.003147","0.003075","0.003124","0.003062","0.002911","0.003000","0.002884","0.002772","0.002568"
"LDS/white","0.000830","0.000693","0.000639","0.000683","0.000803","0.000952","0.001098","0.001266","0.001459","0.001526"
"LDS/LDS","0.000622","0.000990","0.000362","0.000244","0.000457","0.000447","0.000400","0.000472","0.000375","0.000389"
"R2 LDS","0.000202","0.000261","0.000101","0.000205","0.000220","0.000186","0.000209","0.000278","0.000210","0.000189"
"Sobol LDS","0.000232","0.000228","0.000114","0.000218","0.000271","0.000188","0.000143","0.000236","0.000278","0.000363"
